date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:02	865/865	---MCZ	200	added ('OK')	text/html	etag:W/%22361-5db96ba7-15845b8501511aa0;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/index.html	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/index.html	(from )
16:30:02	22/22	---M--	200	added ('OK')	text/plain	etag:%2216-5d91c756-6142187195c9e269;;;%22	https://files.twoplayergames.org/robots.txt		(from )
16:30:03	13275/13275	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2233db-5db96bad-e59868478c6df8df;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/favicon.ico	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/favicon.ico	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/index.html)
16:30:03	2189/2189	---MCZ	200	added ('OK')	text/css	etag:%2288d-5db96baf-f29e67e90f1febdf;gz%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/index.html)
16:30:03	1186/1186	---M--	200	added ('OK')	application/octet-stream	etag:%224a2-5db96bb0-12fcdb2ba481653b;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/UnityProgress.javascript	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/UnityProgress.javascript	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/index.html)
16:30:03	2824/2824	---M--	200	added ('OK')	application/octet-stream	etag:%22b08-5db96baf-b6b8aa46c8b61e92;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/responsive.javascript	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/responsive.javascript	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/index.html)
16:30:03	157128/157128	---MCZ	200	added ('OK')	application/javascript	etag:%22265c8-5db96bac-e1acd25598c9eba9;gz%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/Build/UnityLoader.js	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/Build/UnityLoader.js	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/index.html)
16:30:04	2259/2259	---M--	200	added ('OK')	image/png	etag:%228d3-5db96baf-3fe5af141a88e8e;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressLogo.Light.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressLogo.Light.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
16:30:04	159/159	---M--	200	added ('OK')	image/png	etag:%229f-5db96bae-139668b8016ee156;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressEmpty.Light.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressEmpty.Light.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
16:30:04	142/142	---M--	200	added ('OK')	image/png	etag:%228e-5db96bae-e52a20a7390830b9;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressFull.Light.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressFull.Light.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
16:30:04	2343/2343	---M--	200	added ('OK')	image/png	etag:%22927-5db96baf-1bb48dd95395c022;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressLogo.Dark.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressLogo.Dark.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
16:30:04	155/155	---M--	200	added ('OK')	image/png	etag:%229b-5db96bae-e12f05593ee2bf40;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressEmpty.Dark.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressEmpty.Dark.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
16:30:05	137/137	---M--	200	added ('OK')	image/png	etag:%2289-5db96bae-7c1260f179c65991;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressFull.Dark.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/progressFull.Dark.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
16:30:05	3587/3587	---M--	200	added ('OK')	image/png	etag:%22e03-5db96bb0-18a166bd22eca9bc;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/webgl-logo.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/webgl-logo.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
16:30:05	345/345	---M--	200	added ('OK')	image/png	etag:%22159-5db96bad-790f99a01eab44a6;;;%22	https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/fullscreen.png	C:/My%20Web%20Sites/https___files.twoplayergames.org_files_games_other_HeadSoccer2Player_index.html/files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/fullscreen.png	(from https://files.twoplayergames.org/files/games/other/HeadSoccer2Player/TemplateData/style.css)
